IIP ID,Language,Region,Material,Text_Genre,City,Religion,Time
idum0486,Aramaic,Negev,clay,other/unkown,Other,other_religion,-337.0
idum0493,Aramaic,Negev,clay,other/unkown,Other,other_religion,-338.0
idum0487,Aramaic,Negev,clay,other/unkown,Other,other_religion,-358.0
idum0489,Aramaic,Negev,clay,other/unkown,Other,other_religion,-344.0
idum0497,Aramaic,Negev,clay,other/unkown,Other,other_religion,-362.0
idum0508,Aramaic,Negev,clay,legal/economic,Other,jewish,-344.0
idum0509,Aramaic,Negev,clay,legal/economic,Other,jewish,-342.0
idum0520,Aramaic,Negev,clay,legal/economic,Other,jewish,-338.0
idum0521,Aramaic,Negev,clay,legal/economic,Other,jewish,-320.0
idum0518,Aramaic,Negev,clay,legal/economic,Other,jewish,-352.0
idum0523,Aramaic,Negev,clay,legal/economic,Other,jewish,-362.0
idum0531a,Aramaic,Negev,clay,legal/economic,Other,jewish,-357.0
idum0524,Aramaic,Negev,clay,legal/economic,Other,jewish,-346.0
idum0527,Aramaic,Negev,clay,legal/economic,Other,jewish,-343.0
idum0526,Aramaic,Negev,clay,legal/economic,Other,jewish,-344.0
idum0525,Aramaic,Negev,clay,legal/economic,Other,jewish,-344.0
idum0531b,Aramaic,Negev,clay,legal/economic,Other,jewish,-357.0
idum0534,Aramaic,Negev,clay,legal/economic,Other,jewish,-362.0
idum0537b,Aramaic,Negev,clay,legal/economic,Other,jewish,-340.0
idum0537a,Aramaic,Negev,clay,legal/economic,Other,jewish,-340.0
idum0535,Aramaic,Negev,clay,legal/economic,Other,jewish,-345.0
idum0536,Aramaic,Negev,clay,legal/economic,Other,jewish,-344.0
idum0548,Aramaic,Negev,clay,legal/economic,Other,jewish,-353.0
idum0544,Aramaic,Negev,clay,legal/economic,Other,jewish,-356.0
idum0546,Aramaic,Negev,clay,legal/economic,Other,jewish,-344.0
idum0545,Aramaic,Negev,clay,legal/economic,Other,jewish,-355.0
idum0553,Aramaic,Negev,clay,legal/economic,Other,jewish,-349.0
idum0554,Aramaic,Negev,clay,legal/economic,Other,jewish,-344.0
idum0562,Aramaic,Negev,clay,legal/economic,Other,jewish,-353.0
idum0563,Aramaic,Negev,clay,legal/economic,Other,jewish,-344.0
idum0564,Aramaic,Negev,clay,legal/economic,Other,jewish,-344.0
idum0573,Aramaic,Negev,clay,legal/economic,Other,jewish,-358.0
idum0575,Aramaic,Negev,clay,legal/economic,Other,jewish,-314.0
idum0574,Aramaic,Negev,clay,legal/economic,Other,jewish,-336.0
idum0570,Aramaic,Negev,clay,legal/economic,Other,jewish,-337.0
idum0568,Aramaic,Negev,clay,legal/economic,Other,jewish,-353.0
idum0569,Aramaic,Negev,clay,legal/economic,Other,jewish,-344.0
idum0579,Aramaic,Negev,clay,legal/economic,Other,jewish,-346.0
idum0589,Aramaic,Negev,clay,legal/economic,Other,jewish,-315.0
idum0590,Aramaic,Negev,clay,legal/economic,Other,jewish,-352.0
idum0592,Aramaic,Negev,clay,legal/economic,Other,jewish,-356.0
idum0591,Aramaic,Negev,clay,legal/economic,Other,jewish,-357.0
idum0601,Aramaic,Negev,clay,legal/economic,Other,jewish,-315.0
idum0602,Aramaic,Negev,clay,legal/economic,Other,jewish,-315.0
idum0596,Aramaic,Negev,clay,legal/economic,Other,jewish,-356.0
idum0600,Aramaic,Negev,clay,legal/economic,Other,jewish,-316.0
idum0608,Aramaic,Negev,clay,legal/economic,Other,jewish,-353.0
idum0615,Aramaic,Negev,clay,legal/economic,Other,jewish,-352.0
idum0619,Aramaic,Negev,clay,legal/economic,Other,jewish,-352.0
idum0613,Aramaic,Negev,clay,legal/economic,Other,jewish,-357.0
idum0618a,Aramaic,Negev,clay,legal/economic,Other,jewish,-357.0
idum0614,Aramaic,Negev,clay,legal/economic,Other,jewish,-356.0
idum0618b,Aramaic,Negev,clay,legal/economic,Other,jewish,-357.0
idum0623,Aramaic,Negev,clay,legal/economic,Other,jewish,-359.0
idum0625,Aramaic,Negev,clay,legal/economic,Other,jewish,-350.0
idum0624,Aramaic,Negev,clay,legal/economic,Other,jewish,-357.0
idum0635,Aramaic,Negev,clay,legal/economic,Other,jewish,-353.0
idum0636,Aramaic,Negev,clay,legal/economic,Other,jewish,-353.0
idum0631,Aramaic,Negev,clay,legal/economic,Other,jewish,-344.0
